*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BITBA555_tutorial5
*Date=13:13:57
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;;41.1226;-61.1888;0;Bottom;Copper Fill121
105;1k;THT;94.6218;-61.3883;90;Bottom;R59
106;;;102.108;-90.9576;0;Bottom;Copper Fill88
107;;;87.4268;-23.3428;0;Bottom;Copper Fill166
108;;;57.3532;-34.9506;0;Bottom;Copper Fill159
109;;;23.6216;-71.4683;0;Bottom;Via36
110;;;103.607;-11.9763;0;Bottom;Copper Fill54
111;;;73.1012;-48.8444;0;Bottom;Copper Fill136
112;;[THT];50.3715;-17.2183;0;Bottom;S2
113;;;24.8412;-91.0719;0;Bottom;Copper Fill214
114;;;57.5437;-98.3998;0;Bottom;Copper Fill218
115;;;43.688;-3.5435;0;Bottom;Copper Fill42
116;;;71.6788;-37.5287;0;Bottom;Copper Fill220
117;;;97.8281;-28.2196;0;Bottom;Copper Fill202
118;;;43.688;-3.5435;0;Bottom;Copper Fill189
119;;;58.6215;-52.4684;0;Bottom;Via30
120;;;109.622;-14.4684;0;Bottom;Via40
121;;;49.9872;-67.3864;0;Bottom;Copper Fill16
122;;;25.019;-69.1136;0;Bottom;Copper Fill111
123;;;49.9364;-88.0366;0;Bottom;Copper Fill93
124;;;50.4698;-63.6018;0;Bottom;Copper Fill19
125;;;41.6216;-10.4684;0;Bottom;Via7
126;;;91.5797;-6.6296;0;Bottom;Copper Fill58
127;;TO92 [THT];25.7104;-64.7377;-90;Bottom;Q5
128;;;50.165;-41.4276;0;Bottom;Copper Fill150
129;;;94.0054;-48.946;0;Bottom;Copper Fill141
130;;;26.0858;-94.0564;0;Bottom;Copper Fill1
131;;DIP (Dual Inline) [THT];87.4316;-19.6584;0;Bottom;IC4
132;;;29.5529;-40.8942;0;Bottom;Copper Fill210
133;;;13.081;-25.8828;0;Bottom;Copper Fill167
134;;;45.2628;-50.0128;0;Bottom;Copper Fill80
135;;DIP (Dual Inline) [THT];63.4317;-23.1983;0;Bottom;uA743
136;;;8.1534;-10.4142;0;Bottom;Copper Fill181
137;;;81.788;-45.7202;0;Bottom;Copper Fill27
138;;;70.612;-75.9208;0;Bottom;Copper Fill106
139;100k;THT;96.6216;-44.3884;-90;Bottom;R46
140;;;28.5877;-95.5804;0;Bottom;Copper Fill196
141;;;52.6217;-52.4684;0;Bottom;Via27
142;;;31.0896;-79.045;0;Bottom;Copper Fill99
143;10k;THT;54.7017;-65.4684;0;Bottom;R72
144;;;47.752;-75.0699;0;Bottom;Copper Fill78
145;;;58.6218;-10.4684;0;Bottom;Via10
146;;;88.2396;-57.2518;0;Bottom;Copper Fill126
147;;;83.5406;-82.3216;0;Bottom;Copper Fill96
148;;;98.8568;-29.2483;0;Bottom;Copper Fill57
149;;;61.6218;-10.4684;0;Bottom;Via14
150;;;97.8281;-28.2196;0;Bottom;Copper Fill56
151;1k;THT;51.7017;-62.4684;0;Bottom;R73
152;;;91.5797;-4.4198;0;Bottom;Copper Fill203
153;;;26.1112;-42.469;0;Bottom;Copper Fill146
154;;TO92 [THT];43.7106;-64.7377;-90;Bottom;Q6
155;;THT;42.152;-100.293;-90;Bottom;Decay1
156;;;66.0908;-21.9839;0;Bottom;Copper Fill74
157;5.6k;THT;38.5417;-80.4682;180;Bottom;R62
158;;;13.6906;-54.0514;0;Bottom;Copper Fill127
159;;;16.6624;-64.44;0;Bottom;Copper Fill112
160;15k;THT;94.6218;-21.5484;-90;Bottom;R45
161;;;33.782;-93.65;0;Bottom;Copper Fill2
162;;;102.641;-24.3715;0;Bottom;Copper Fill53
163;;;91.5416;-74.3714;0;Bottom;Copper Fill109
164;;;38.608;-88.3668;0;Bottom;Copper Fill8
165;100k;THT;93.5417;-8.46828;0;Bottom;R47
166;;;42.5577;-6.02;0;Bottom;Copper Fill186
167;;;36.6268;-42.2912;0;Bottom;Copper Fill155
168;;;90.4748;-5.5247;0;Bottom;Copper Fill59
169;;;20.193;-41.707;0;Bottom;Copper Fill151
170;3.3µF;100 mil [THT, electrolytic];11.6216;-83.7384;-90;Bottom;C17
171;220;THT;24.7015;-27.4683;0;Bottom;R11
172;;;39.5605;-83.5408;0;Bottom;Copper Fill47
